,day,date,susceptible,infected,recovered
0,-28,2020-03-07,3599733.3333333335,266.6666666666667,0.0
1,-27,2020-03-08,3599669.9819442807,310.9704366715303,19.047619047619044
2,-26,2020-03-09,3599596.106710237,362.63349666720705,41.25979309558549
3,-25,2020-03-10,3599509.9599854,422.8778288857791,67.16218571467172
4,-24,2020-03-11,3599409.504102377,493.128152701949,97.36774492079878
5,-23,2020-03-12,3599292.3633157653,575.0454998350394,132.59118439950942
6,-22,2020-03-13,3599155.767808931,670.5663281098718,173.66586295915508
7,-21,2020-03-14,3598996.48846262,781.9480795558974,221.56345782414593
8,-20,2020-03-15,3598810.7608740055,911.8222339163273,277.4168920781386
9,-19,2020-03-16,3598594.1968721515,1063.2560762049598,342.5470516435905
10,-18,2020-03-17,3598341.6814959487,1239.8245898213197,418.493914229659
11,-17,2020-03-18,3598047.2530782833,1445.6941082146539,507.05281350261055
12,-16,2020-03-19,3597703.9637099234,1685.719611701483,610.3166783750856
13,-15,2020-03-20,3597303.716932463,1965.557845469096,730.7252220680487
14,-14,2020-03-21,3596837.0790252266,2291.7987637431215,871.1222110301268
15,-13,2020-03-22,3596293.0597001826,2672.1181770911194,1034.822122726064
16,-12,2020-03-23,3595658.8573952676,3115.454897928304,1225.687706804001
17,-11,2020-03-24,3594919.563654871,3632.2161456154095,1448.2201995131654
18,-10,2020-03-25,3594057.8203024287,4234.515487656743,1707.6642099142662
19,-9,2020-03-26,3593053.4222426014,4936.448155509378,2010.1296018897483
20,-8,2020-03-27,3591882.857781681,5754.4091767496175,2362.733041568989
21,-7,2020-03-28,3590518.7773328586,6707.460398662477,2773.7622684796765
22,-6,2020-03-29,3588929.38029464,7817.753122690031,3252.8665826698525
23,-5,2020-03-30,3587077.708785549,9111.013694447029,3811.2775200048554
24,-4,2020-03-31,3584920.8358329213,10617.09995461329,4462.064212465357
25,-3,2020-04-01,3582408.934619811,12370.636885251326,5220.428494937734
26,-2,2020-04-02,3579484.2145959404,14411.739988746474,6104.0454153128285
27,-1,2020-04-03,3576079.709806156,16786.834779335648,7133.455414509007
28,0,2020-04-04,3572117.904891685,19549.580066710376,8332.515041604409
29,1,2020-04-05,3568891.801081615,21379.285300586645,9728.913617798007
30,2,2020-04-06,3565366.942608648,23377.05196636897,11256.005424982768
31,3,2020-04-07,3561516.5138216945,25557.691327154287,12925.794851151984
32,4,2020-04-08,3557311.458605021,27937.197163316276,14751.344231663
33,5,2020-04-09,3552720.325922602,30532.815762640694,16746.858314757017
34,6,2020-04-10,3547709.1113645434,33363.11490908273,18927.773726374213
35,7,2020-04-11,3542241.0961478353,36448.05048942755,21310.85336273726
36,8,2020-04-12,3536276.6854405333,39809.02901891287,23914.28554055351
37,9,2020-04-13,3529773.2483664565,43468.964020210966,26757.787613333006
38,10,2020-04-14,3522684.962613478,47452.323771745265,29862.713614776643
39,11,2020-04-15,3514962.667218371,51785.1674688706,33252.16531275845
40,12,2020-04-16,3506553.727839406,56495.16631434467,36951.10584624921
41,13,2020-04-17,3497401.919656811,61611.60547448755,40986.474868702404
42,14,2020-04-18,3487447.333959384,67165.36220945064,45387.303831165795
43,15,2020-04-19,3476626.31547729,73188.8548194401,50184.8297032694
44,16,2020-04-20,3464871.4385939315,79715.95635855381,55412.605047515135
45,17,2020-04-21,3452111.531693503,86781.86637622802,61106.601930268975
46,18,2020-04-22,3438271.760044522,94422.93328405032,67305.30667142813
47,19,2020-04-23,3423273.7787397164,102676.41935428034,74049.80190600314
48,20,2020-04-24,3407035.9682507114,111580.19988940888,81383.83185988032
49,21,2020-04-25,3389473.766035602,121172.38782670314,89353.84613769522
50,22,2020-04-26,3370500.1082634614,131490.8750397933,98009.01669674544
51,23,2020-04-27,3350025.9959756765,142572.78196759307,107401.22205673068
52,24,2020-04-28,3327961.199753193,154453.808049534,117584.99219727304
53,25,2020-04-29,3304215.1160457768,167167.47689626916,128617.40705795403
54,26,2020-04-30,3278697.7865749253,180744.2723031023,140557.94112197327
55,27,2020-05-01,3251321.0894706636,195210.66424285594,153468.2462864805
56,28,2020-05-02,3222000.1068748403,210588.0279641903,167411.86516097025
57,29,2020-05-03,3190654.668493426,226891.4643481618,182453.86715841238
58,30,2020-05-04,3157211.063906753,244128.5357671088,198660.40032613822
59,31,2020-05-05,3121603.908319946,262297.93879912206,216098.15288093168
60,32,2020-05-06,3083778.136928763,281388.1431332256,234833.7199380119
61,33,2020-05-07,3043691.0923941196,301376.03458692366,254932.87301895654
62,34,2020-05-08,3001314.658429588,322225.6089381034,276459.7326323082
63,35,2020-05-09,2956637.3807609095,343886.77168263216,299475.8475564585
64,36,2020-05-10,2909666.505456898,366294.30615217006,324039.1883909322
65,37,2020-05-11,2860429.854776343,389367.0778218555,350203.06740180147
66,38,2020-05-12,2808977.4532831125,413007.54518495355,378015.001531934
67,39,2020-05-13,2755382.813175774,437101.64635050925,407515.5404737164
68,40,2020-05-14,2699743.7886464996,461519.1247118903,438737.0866416099
69,41,2020-05-15,2642182.9155473905,486114.3460458648,471702.738406745
70,42,2020-05-16,2582847.1653069644,510727.6429973,506425.1916957353
71,43,2020-05-17,2521907.061051528,535187.2013243581,542905.7376241139
72,44,2020-05-18,2459555.128811267,559311.4763271647,581133.3948615681
73,45,2020-05-19,2396003.6864452343,582912.0989555428,621084.2145992228
74,46,2020-05-20,2331482.0057753315,605797.2011286211,662720.7930960472
75,47,2020-05-21,2266232.917102774,627775.0611491345,705992.0217480917
76,48,2020-05-22,2200508.9571606126,648657.9452949293,750833.0975444585
77,49,2020-05-23,2134568.18891407,668266.0031632625,797165.8079226677
78,50,2020-05-24,2068669.841964365,686431.0641727343,844899.0938629007
79,51,2020-05-25,2003069.9336895861,703000.1821494607,893929.8841609532
80,52,2020-05-26,1938017.032519545,717838.7845945404,944144.1828859147
81,53,2020-05-27,1873748.3157097527,730833.3025047225,995418.3817855248
82,54,2020-05-28,1810486.0554752245,741893.1839889134,1047620.7605358621
83,55,2020-05-29,1748434.641090709,750952.2280885065,1100613.1308207845
84,56,2020-05-30,1687778.212960017,757969.2113557338,1154252.5756842492
85,57,2020-05-31,1628678.950473935,762927.8158878346,1208393.2336382302
86,58,2020-06-01,1571276.0215182984,765835.9008514831,1262888.0776302184
87,59,2020-06-02,1515685.170286127,766724.1877371204,1317590.641976753
88,60,2020-06-03,1461998.8935905707,765644.4510228822,1372356.6553865473
89,61,2020-06-04,1410287.1354956382,762667.319759037,1427045.5447453244
90,62,2020-06-05,1360598.4163889927,757879.8017400374,1481521.78187097
91,63,2020-06-06,1312961.3055586661,751382.641017504,1535656.0534238298
92,64,2020-06-07,1267386.1453012929,743287.6126307698,1589326.2420679373
93,65,2020-06-08,1223866.9385978302,733714.8470034633,1642418.2143987066
94,66,2020-06-09,1182383.3202468094,722790.2619970939,1694826.4177560967
95,67,2020-06-10,1142902.5417941061,710643.1645928618,1746454.293613032
96,68,2020-06-11,1105381.4124641642,697404.0678804563,1797214.5196553792
97,69,2020-06-12,1069768.1505633306,683202.7535041146,1847029.0959325547
98,70,2020-06-13,1036004.1116837548,668166.5957048251,1895829.29261142
99,71,2020-06-14,1004025.3709027313,652419.1510783611,1943555.4780189074
100,72,2020-06-15,973764.1456771172,636079.0083698066,1990156.845953076
101,73,2020-06-16,945150.0540902306,619258.8850731356,2035591.0608366334
102,74,2020-06-17,918111.2094821478,602064.9521759948,2079823.8383418578
103,75,2020-06-18,892575.15735519,584596.3648618101,2122828.477783
104,76,2020-06-19,868469.6639384751,566944.9750741101,2164585.360987415
105,77,2020-06-20,845723.3681033769,549195.2012610573,2205081.4306355654
106,78,2020-06-21,824266.3096462952,531424.0310566351,2244309.6592970695
107,79,2020-06-22,804030.3474947244,513701.13384701795,2282268.518658258
108,80,2020-06-23,784949.4813313489,496089.0618784634,2318961.4567901874
109,81,2020-06-24,766960.0896313066,478643.5205871869,2354396.3897815063
110,82,2020-06-25,750001.0963076571,461413.6910117517,2388585.2126805913
111,83,2020-06-26,734014.0771720174,444442.5893608377,2421543.333467145
112,84,2020-06-27,718943.3163300152,427767.45096278016,2453289.2327072048
113,85,2020-06-28,704735.8215121144,411420.12785476807,2483844.0506331176
114,86,2020-06-29,691341.3062386734,395427.4911385827,2513231.202622744
115,87,2020-06-30,678712.1456678583,379811.83091378486,2541476.023418357
116,88,2020-07-01,666803.3119982382,364591.24808956304,2568605.4399121986
117,89,2020-07-02,655572.2944071062,349780.0336742976,2594647.671918596
118,90,2020-07-03,644979.0077063129,335389.0322554983,2619631.960038189
119,91,2020-07-04,634985.6931900971,321425.9873248928,2643588.31948501
120,92,2020-07-05,625556.8145309064,307895.86688944825,2666547.3185796454
121,93,2020-07-06,616658.951044093,294801.1684555867,2688539.8805003203
122,94,2020-07-07,608260.6901838545,282142.202997569,2709597.1068185763
123,95,2020-07-08,600332.5207433945,269917.3579382026,2729750.1213184027
124,96,2020-07-09,592846.7279043886,258123.33949590832,2749029.932599703
125,97,2020-07-10,585777.2910070061,246755.3950007259,2767467.313992268
126,98,2020-07-11,579099.7846849227,235807.5159656146,2785092.6993494625
127,99,2020-07-12,572791.2838234673,225272.62282952608,2801936.0933470065
128,100,2020-07-13,566830.2726473927,215142.73237492025,2818026.994977687
